pipeline,language,method,vocab_size,algorithm,macro_f1
full,english,gini,30,MNB,0.8291
full,english,gini,30,RF,0.9283
full,english,gini,30,TextCNN,0.9187
full,english,gini,30,LSTM,0.8908
full,english,gini,10,SVM,0.8326
full,english,gini,10,MNB,0.6573
full,english,gini,10,RF,0.8345
full,english,gini,10,TextCNN,0.8695
full,english,gini,10,LSTM,0.8629
full,english,dfs,500,SVM,0.9476
full,english,dfs,500,MNB,0.9505
full,english,dfs,500,RF,0.9476
full,english,dfs,500,TextCNN,0.9465
full,english,dfs,500,LSTM,0.9409
full,english,dfs,300,SVM,0.9437
full,english,dfs,300,MNB,0.9338
full,english,dfs,300,RF,0.9523
full,english,dfs,300,TextCNN,0.9543
full,english,dfs,300,LSTM,0.9483
full,english,dfs,100,SVM,0.919
full,english,dfs,100,MNB,0.907
full,english,dfs,100,RF,0.953
full,english,dfs,100,TextCNN,0.937
full,english,dfs,100,LSTM,0.9309
full,english,dfs,50,SVM,0.9185
full,english,dfs,50,MNB,0.8819
full,english,dfs,50,RF,0.931
full,english,dfs,50,TextCNN,0.9151
full,english,dfs,50,LSTM,0.9284
full,english,dfs,30,SVM,0.8915
full,english,dfs,30,MNB,0.822
full,english,dfs,30,RF,0.9099
full,english,dfs,30,TextCNN,0.9101
full,english,dfs,30,LSTM,0.9079
full,english,dfs,10,SVM,0.8473
full,english,dfs,10,MNB,0.7343
full,english,dfs,10,RF,0.8364
full,english,dfs,10,TextCNN,0.8629
full,english,dfs,10,LSTM,0.8588
basic,turkish,gini,500,SVM,0.9725
basic,turkish,gini,500,MNB,0.9529
basic,turkish,gini,500,RF,0.949
basic,turkish,gini,500,TextCNN,0.9686
basic,turkish,gini,500,LSTM,0.9489
basic,turkish,gini,300,SVM,0.9686
basic,turkish,gini,300,MNB,0.9372
basic,turkish,gini,300,RF,0.949
basic,turkish,gini,300,TextCNN,0.9686
basic,turkish,gini,300,LSTM,0.9568
basic,turkish,gini,100,SVM,0.941
basic,turkish,gini,100,MNB,0.9333
basic,turkish,gini,100,RF,0.9372
basic,turkish,gini,100,TextCNN,0.9411
basic,turkish,gini,100,LSTM,0.9293
basic,turkish,gini,50,SVM,0.9215
basic,turkish,gini,50,MNB,0.9294
basic,turkish,gini,50,RF,0.949
basic,turkish,gini,50,TextCNN,0.9253
basic,turkish,gini,50,LSTM,0.9332
basic,turkish,gini,30,SVM,0.9058
basic,turkish,gini,30,MNB,0.9215
basic,turkish,gini,30,RF,0.9136
basic,turkish,gini,30,TextCNN,0.9096
basic,turkish,gini,30,LSTM,0.9175
basic,turkish,gini,10,SVM,0.8862
basic,turkish,gini,10,MNB,0.7675
basic,turkish,gini,10,RF,0.8823
basic,turkish,gini,10,TextCNN,0.8823
basic,turkish,gini,10,LSTM,0.8823
basic,turkish,dfs,500,SVM,0.9725
basic,turkish,dfs,500,MNB,0.9371
basic,turkish,dfs,500,RF,0.945
basic,turkish,dfs,500,TextCNN,0.9647
basic,turkish,dfs,500,LSTM,0.9529
basic,turkish,dfs,300,SVM,0.9686
basic,turkish,dfs,300,MNB,0.949
basic,turkish,dfs,300,RF,0.9411
basic,turkish,dfs,300,TextCNN,0.9686
basic,turkish,dfs,300,LSTM,0.9529
basic,turkish,dfs,100,SVM,0.9331
basic,turkish,dfs,100,MNB,0.9255
basic,turkish,dfs,100,RF,0.9451
basic,turkish,dfs,100,TextCNN,0.945
basic,turkish,dfs,100,LSTM,0.949
basic,turkish,dfs,50,SVM,0.9135
basic,turkish,dfs,50,MNB,0.9097
basic,turkish,dfs,50,RF,0.9372
basic,turkish,dfs,50,TextCNN,0.9253
basic,turkish,dfs,50,LSTM,0.9411
basic,turkish,dfs,30,SVM,0.8821
basic,turkish,dfs,30,MNB,0.9294
basic,turkish,dfs,30,RF,0.9019
basic,turkish,dfs,30,TextCNN,0.9098
basic,turkish,dfs,30,LSTM,0.9254
basic,turkish,dfs,10,SVM,0.8941
basic,turkish,dfs,10,MNB,0.7852
basic,turkish,dfs,10,RF,0.8902
basic,turkish,dfs,10,TextCNN,0.8978
basic,turkish,dfs,10,LSTM,0.8897
stopword,turkish,gini,500,SVM,0.9725
stopword,turkish,gini,500,MNB,0.9725
stopword,turkish,gini,500,RF,0.9608
stopword,turkish,gini,500,TextCNN,0.949
stopword,turkish,gini,500,LSTM,0.9568
stopword,turkish,gini,300,SVM,0.9686
stopword,turkish,gini,300,MNB,0.949
stopword,turkish,gini,300,RF,0.9569
stopword,turkish,gini,300,TextCNN,0.9608
stopword,turkish,gini,300,LSTM,0.9568
stopword,turkish,gini,100,SVM,0.949
stopword,turkish,gini,100,MNB,0.9294
stopword,turkish,gini,100,RF,0.9451
stopword,turkish,gini,100,TextCNN,0.9411
stopword,turkish,gini,100,LSTM,0.9371
stopword,turkish,gini,50,SVM,0.9372
stopword,turkish,gini,50,MNB,0.9372
stopword,turkish,gini,50,RF,0.9451
